Ano,Brasil,Portugal,Angola,Cabo Verde
1990,3.809575122,3.470078787,4.605299718,4.0330945
1991,3.823798864,3.361301633,4.772857958,4.145155922
1992,3.881791472,3.538168345,5.155180405,3.95100461
1993,3.801583173,3.561695968,7.090346605,3.774971241
1994,3.79938653,3.618829445,6.944231409,3.305859326
1995,3.763228873,3.837238768,6.285041085,3.051242441
1996,3.877785389,3.671332081,5.816001771,3.103925864
1997,3.94084954,3.703239522,5.507563152,2.883835386
1998,4.021782599,3.818735996,5.143653728,2.678087813
1999,4.093738951,3.944905284,5.233148287,2.743621427
2000,3.947845721,3.827118794,5.218280891,2.670902027
2001,3.951217469,3.782520915,5.227248303,2.844989674
2002,3.935620577,3.91043076,5.876512797,2.986422666
2003,3.955210904,3.839451792,6.025119691,3.100878519
2004,3.947738677,3.878131314,5.590728406,3.034291464
2005,3.92159461,3.943466025,4.568534589,3.529009427
2006,3.903329868,3.691442954,4.151633624,3.48058172
2007,3.88866755,3.627036528,3.612273135,3.226689688
2008,3.906363882,3.526733381,3.435367756,2.849430349
2009,3.783438938,3.586701625,3.64542774,3.152243408
2010,3.890559644,3.397078909,3.697914144,3.162907242
2011,3.802765057,3.364036468,3.695967555,3.344680587
2012,3.892953569,3.289445383,3.857077991,2.840059439
2013,3.939832051,3.339425067,3.615593683,2.804618555
2014,4.043844382,3.274580852,3.646200582,2.69585812
2015,4.130221394,3.344354013,3.605959068,2.772725823
